,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
NoDur,1.0,0.5418969276047998,0.7555063675862729,0.47557624335738635,0.8179918004037467,0.5572133262619547,0.6302296108416794,0.6223915879836561,0.7913650283097878,0.7357701269585079,0.7630392300967312,0.7656173933200903
Durbl,0.5418969276047998,1.0,0.7524651776758998,0.40944365438925207,0.6263923325065662,0.6421960134640335,0.5122002833593965,0.357837492923015,0.7027733006367362,0.44918018256907133,0.6753612689044282,0.7368006722945197
Manuf,0.7555063675862729,0.7524651776758998,1.0,0.6195815442999631,0.8638369945767671,0.7720046364139368,0.6541440654843929,0.5114030845444997,0.8086279058730125,0.6584042732832207,0.8277711316184623,0.9249878267528628
Enrgy,0.47557624335738635,0.40944365438925207,0.6195815442999631,1.0,0.5552287751804893,0.41174196810737257,0.438249759611664,0.4968900001012049,0.4046064864615677,0.4070407319462083,0.5614340915971185,0.5864980387891575
Chems,0.8179918004037467,0.6263923325065662,0.8638369945767671,0.5552287751804893,1.0,0.6359788127303435,0.5840810465498056,0.5396076149345777,0.7606936084560063,0.7099055231244551,0.7650878965265556,0.8300609032987354
BusEq,0.5572133262619547,0.6421960134640335,0.7720046364139368,0.41174196810737257,0.6359788127303435,1.0,0.6152238962574286,0.3166344823425361,0.7249789849790571,0.6001895006423221,0.6301825775155567,0.7867323880157449
Telcm,0.6302296108416794,0.5122002833593965,0.6541440654843929,0.438249759611664,0.5840810465498056,0.6152238962574286,1.0,0.48250244765128575,0.6309353226266731,0.5457928010385863,0.6615207989139709,0.6765447204224713
Utils,0.6223915879836561,0.357837492923015,0.5114030845444997,0.4968900001012049,0.5396076149345777,0.3166344823425361,0.48250244765128575,1.0,0.4581467332399353,0.4610967153853662,0.5456570180023221,0.5224504139443945
Shops,0.7913650283097878,0.7027733006367362,0.8086279058730125,0.4046064864615677,0.7606936084560063,0.7249789849790571,0.6309353226266731,0.4581467332399353,1.0,0.6700947175024846,0.7721919249643544,0.8403787278792906
Hlth,0.7357701269585079,0.44918018256907133,0.6584042732832207,0.4070407319462083,0.7099055231244551,0.6001895006423221,0.5457928010385863,0.4610967153853662,0.6700947175024846,1.0,0.6655171446181067,0.6840008824079596
Money,0.7630392300967312,0.6753612689044282,0.8277711316184623,0.5614340915971185,0.7650878965265556,0.6301825775155567,0.6615207989139709,0.5456570180023221,0.7721919249643544,0.6655171446181067,1.0,0.8515778036484369
Other,0.7656173933200903,0.7368006722945197,0.9249878267528628,0.5864980387891575,0.8300609032987354,0.7867323880157449,0.6765447204224713,0.5224504139443945,0.8403787278792906,0.6840008824079596,0.8515778036484369,1.0
